symbol,timestamp,open,high,low,close,volume
AAPL,1746031600,151.26772169423361,154.0068804411824,148.52856294728485,146.21580325384056,951664.2844341358
AAPL,1746118000,149.78054400838965,152.3285837468185,147.23250426996077,152.53056930907522,992823.2379662511
AAPL,1746204400,150.88521212920128,153.6769838030722,148.09344045533035,149.7260627862536,980482.2146730964
AAPL,1746290800,151.23159781000655,153.37113340781292,149.09206221220018,150.81953590431922,866546.5054783614
AAPL,1746377200,150.7692476895885,152.85320950256894,148.68528587660805,143.30310753442404,986064.8015553493
AAPL,1746463600,151.7212092617662,152.002020496891,151.44039802664142,144.22457089703892,979514.0444944758
AAPL,1746550000,152.05942565227951,154.9017593747729,149.2170919297861,158.40504584714378,1038102.6297117699
AAPL,1746636400,152.47524039849222,154.31139564664312,150.63908515034132,146.62454447561083,979469.4969146871
AAPL,1746722800,151.29030108744814,151.63953846893233,150.94106370596396,151.85528416349902,925937.6149584578
AAPL,1746809200,151.723282951449,152.10736242998084,151.33920347291715,149.9001776651662,1040948.3453257186
AAPL,1746895600,152.29492968225222,155.20156695044724,149.38829241405716,146.19801921189975,1001692.4232483004
AAPL,1746982000,151.86075646766093,154.33184794639246,149.38966498892938,146.1667511399973,1102260.984571169
AAPL,1747068400,152.69646948355415,154.23890373832918,151.15403522877915,152.2536540274785,1068661.6203640783
AAPL,1747154800,151.27464369284576,152.09795516814577,150.45133221754574,155.93744870893346,916140.5073413122
AAPL,1747241200,152.61424399673166,154.73697636252433,150.491511630939,159.60758142737504,1106699.9942345705
AAPL,1747327600,151.25031946005177,153.91049863113307,148.59014028897047,151.8269998576833,1145726.8182281847
AAPL,1747414000,151.22177439305943,153.3036666883723,149.13988209774658,154.64954976397144,1002909.5097521401
AAPL,1747500400,150.15266631236335,150.9562769273369,149.34905569738984,152.92183814021033,1081823.5594668235
AAPL,1747586800,150.29367360860363,151.29603446348827,149.29131275371898,155.47391651700542,880788.2659731549
AAPL,1747673200,149.0515043953304,149.86042888059413,148.2425799100667,146.74007323183713,942234.3926598803
AAPL,1747759600,150.33332596992176,151.50719443697048,149.15945750287304,148.216129709521,1016226.5576484497
AAPL,1747846000,149.71528996242336,150.2334408705682,149.19713905427852,156.85267105022137,956009.7990573577
AAPL,1747932400,150.01355949951164,151.1283045292164,148.8988144698069,151.89750918532624,1074953.206276147
AAPL,1748018800,150.22854083781692,151.8637195082727,148.5933621673611,156.21054589586615,892890.6164357078
AAPL,1748105200,149.2075751924476,150.41732735899024,147.99782302590495,147.67653987295355,1007964.538633714
AAPL,1748191600,150.57295340407552,150.98448614435787,150.16142066379317,144.50642305888707,1092896.2286969258
AAPL,1748278000,149.78827742332376,150.44187201560865,149.13468283103884,150.31281564984522,935636.1176803743
AAPL,1748364400,150.20732641156036,152.58814033566094,147.82651248745978,143.51897554394714,1078796.9240389178
AAPL,1748450800,149.42866023407962,150.33188801896125,148.525432449198,145.27845628002788,985569.4481492408
AAPL,1748537200,150.63548408692145,151.14878558583206,150.12218258801084,149.92767592117283,1119020.5472882523
